trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-139.59474029815837,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-148.27799520027776,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-129.80103120049705,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-118.21229108904677,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,5,-76.30449247973189,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-52.198455952572125,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-18.05369862986198,"{0: 28, 1: 4, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-101.14988903326721,"{0: 19, 1: 3, 2: 5, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-109.96446539318876,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-43.37078272398965,"{0: 18, 1: 9, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-1.721331221458094,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-100.85737607940663,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-34.273049240794215,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-52.19265491363866,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-50.847647343361636,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-16.830663121906596,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-1.7930255543257188,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-42.805326272162006,"{0: 13, 1: 11, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,1.7542164543903112,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-36.3722509009071,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-21.232719065455758,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-10.731296197183974,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,17.15367836574184,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-20.385051175724023,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-25.296250099453015,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,6.250355989785558,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-10.228539188849538,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-0.2799510248351744,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-30.33033701505342,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-1.7781713723425385,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
