trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 1.0}",20,0,-85.20038229814324,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
2,False,"{'a': 0.85, 'e': 0.9999996915748783}",20,0,-198.24021412119362,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.85, 'e': 0.9999987662997035}",20,0,5.838696286786319,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.85, 'e': 0.9999972241750464}",25,16,5.059456984360557,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.85, 'e': 0.9999950652018582}",20,0,-53.86344853823298,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.85, 'e': 0.9999922893814706}",30,0,-222.2988890338478,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
7,False,"{'a': 0.85, 'e': 0.999988896715596}",25,0,-203.19242326005136,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
8,False,"{'a': 0.85, 'e': 0.999984887206327}",30,0,-172.76531208540678,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.85, 'e': 0.9999802608561371}",25,0,-187.3958532130175,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.85, 'e': 0.9999750176678799}",25,0,-123.74932367006075,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.85, 'e': 0.9999691576447897}",25,0,-232.9450208604108,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
12,False,"{'a': 0.85, 'e': 0.9999626807904812}",20,0,-30.018761949711976,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.85, 'e': 0.9999555871089498}",20,0,-97.5352208109201,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.85, 'e': 0.9999478766045711}",20,0,-120.20740332198577,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.85, 'e': 0.9999395492821014}",20,0,-117.56226458693538,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
16,False,"{'a': 0.85, 'e': 0.9999306051466773}",20,0,-180.61594509606027,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
17,False,"{'a': 0.85, 'e': 0.9999210442038161}",20,0,-60.83813278004088,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.85, 'e': 0.9999108664594155}",20,0,-128.7805673546659,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.85, 'e': 0.9999000719197535}",20,0,-131.01782869438082,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.85, 'e': 0.9998886605914888}",25,0,-119.7371871406645,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.85, 'e': 0.9998766324816606}",20,0,-160.26740155158626,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
22,False,"{'a': 0.85, 'e': 0.9998639875976882}",20,0,-148.61505915724064,"{0: 6, 1: 7, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.85, 'e': 0.9998507259473718}",20,0,-132.2005669529806,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.85, 'e': 0.9998368475388918}",30,14,-62.96464183271053,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
25,False,"{'a': 0.85, 'e': 0.999822352380809}",20,0,-143.2451186781398,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
26,False,"{'a': 0.85, 'e': 0.9998072404820648}",20,0,-12.034695115332946,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.85, 'e': 0.9997915118519811}",35,0,-176.1351911911414,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
28,False,"{'a': 0.85, 'e': 0.99977516650026}",25,17,-34.20831300377077,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
29,False,"{'a': 0.85, 'e': 0.999758204436984}",25,0,-127.76054721868205,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
30,False,"{'a': 0.85, 'e': 0.9997406256726165}",20,0,-90.22729613395082,"{0: 10, 1: 7, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.85, 'e': 0.9997224302180006}",20,0,-127.93741449409185,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
32,False,"{'a': 0.85, 'e': 0.9997036180843604}",30,20,-14.67103787211051,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.85, 'e': 0.9996841892832999}",35,0,-155.2837677994042,"{0: 21, 1: 4, 2: 6, 3: 3, 4: 1}",0
34,False,"{'a': 0.85, 'e': 0.9996641438268042}",30,0,-153.25977370222748,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
35,False,"{'a': 0.85, 'e': 0.999643481727238}",20,0,-124.97638502855882,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
36,False,"{'a': 0.85, 'e': 0.9996222029973468}",25,7,-136.2448310409021,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 2}",1
37,False,"{'a': 0.85, 'e': 0.9996003076502565}",20,0,-79.3360301466256,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",1
38,False,"{'a': 0.85, 'e': 0.9995777956994731}",20,0,-205.338309122314,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
39,False,"{'a': 0.85, 'e': 0.9995546671588833}",20,2,-78.02759130237935,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
40,False,"{'a': 0.85, 'e': 0.9995309220427536}",20,0,-139.5364317728267,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
41,False,"{'a': 0.85, 'e': 0.9995065603657316}",25,0,-111.69928641851442,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
42,False,"{'a': 0.85, 'e': 0.9994815821428444}",20,0,-115.8727466268161,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.85, 'e': 0.9994559873895001}",25,2,-65.6497184175668,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 0}",1
44,False,"{'a': 0.85, 'e': 0.9994297761214869}",30,0,-226.78953830958977,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
45,False,"{'a': 0.85, 'e': 0.9994029483549729}",20,13,-13.108604146718926,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.85, 'e': 0.999375504106507}",25,0,-103.85047979219118,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
47,False,"{'a': 0.85, 'e': 0.9993474433930183}",30,0,-164.370745760601,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
48,False,"{'a': 0.85, 'e': 0.9993187662318158}",20,0,-32.463139083312306,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
49,False,"{'a': 0.85, 'e': 0.9992894726405892}",30,0,-177.03242501703838,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
