trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.48046131014543,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999996915748783}",25,0,-139.23633709434995,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999987662997035}",20,0,-101.74944471440955,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999972241750464}",25,0,-140.492480709749,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999950652018582}",20,0,-126.22062993962065,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999922893814706}",20,0,-144.6536979292364,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.999988896715596}",20,0,-169.62478989520332,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.999984887206327}",35,0,-180.33968927666876,"{0: 20, 1: 6, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999802608561371}",20,0,-87.04794612092978,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999750176678799}",25,3,-67.9298132465433,"{0: 14, 1: 4, 2: 1, 3: 3, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9999691576447897}",20,0,-130.13530138172243,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999626807904812}",25,0,-79.0019757506987,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999555871089498}",20,0,-92.16421048735782,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9999478766045711}",20,0,-157.8812888852918,"{0: 9, 1: 3, 2: 3, 3: 4, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9999395492821014}",20,0,-107.01288303430357,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9999306051466773}",30,0,-184.92512160821786,"{0: 17, 1: 0, 2: 10, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9999210442038161}",20,0,-116.38300581480655,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9999108664594155}",20,0,-58.44095426115544,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9999000719197535}",20,0,-97.5946242824043,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9998886605914888}",25,2,-114.42658403963488,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9998766324816606}",20,4,-45.260108252482446,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9998639875976882}",20,0,-59.56237609120451,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9998507259473718}",25,0,-167.57960751308678,"{0: 10, 1: 7, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9998368475388918}",20,0,-132.76791740951364,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.999822352380809}",25,0,-142.17271034045555,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9998072404820648}",20,0,-120.10353492211802,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9997915118519811}",25,0,-236.38657263739668,"{0: 12, 1: 0, 2: 7, 3: 3, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.99977516650026}",20,0,-114.37952188996206,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.999758204436984}",25,0,-173.78714277448736,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.9997406256726165}",30,0,-148.52678938900357,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9997224302180006}",30,0,-257.88265865716824,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.9997036180843604}",25,0,-63.36603634343115,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9996841892832999}",20,0,-78.49410110754985,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9996641438268042}",20,2,-102.15584391915472,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.999643481727238}",30,0,-239.12318261280842,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
36,False,"{'a': 0.5, 'e': 0.9996222029973468}",25,0,-127.23283095163137,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9996003076502565}",20,0,-146.75710329910885,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9995777956994731}",25,0,-125.50862338977305,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9995546671588833}",20,0,-117.5621250477699,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9995309220427536}",25,0,-102.8578425426145,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9995065603657316}",30,0,-176.12949940421046,"{0: 15, 1: 7, 2: 4, 3: 2, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9994815821428444}",25,0,-180.39687200410643,"{0: 12, 1: 5, 2: 3, 3: 3, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9994559873895001}",20,0,-128.11824810804453,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9994297761214869}",25,0,-54.76913422204307,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9994029483549729}",20,0,-60.350534904050065,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.999375504106507}",25,0,-144.21315896148954,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9993474433930183}",25,0,-141.79157496695794,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9993187662318158}",25,0,-196.24313494618858,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.9992894726405892}",20,9,-71.19599754161318,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.9992595626374083}",25,0,-86.79096573467173,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9992290362407229}",20,0,-106.27516947422431,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9991978934693634}",25,0,-118.38024224922843,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9991661343425401}",20,3,-77.86470669520433,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.9991337588798437}",25,0,-75.34639374917839,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.999100767101245}",25,14,-50.47415595961187,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.999067159027095}",20,0,-70.8944595149796,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9990329346781247}",30,5,-183.03388658512606,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.9989980940754456}",25,0,-150.93203169820688,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9989626372405491}",25,0,-206.57345839017233,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
60,False,"{'a': 0.5, 'e': 0.9989265641953067}",20,0,-162.03315685613023,"{0: 8, 1: 1, 2: 7, 3: 3, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.99888987496197}",20,0,-152.4287821240628,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.9988525695631708}",30,0,-206.15830826201764,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.9988146480219211}",20,10,-46.70310797071095,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.9987761103616126}",30,0,-219.2614592045121,"{0: 17, 1: 0, 2: 8, 3: 2, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9987369566060175}",25,0,-69.8733762236663,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9986971867792875}",20,0,-42.954802637364175,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.998656800905955}",30,0,-170.16753215701146,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9986157990109317}",30,0,-129.91676371056136,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9985741811195098}",30,0,-169.41435606455036,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9985319472573612}",25,0,-59.71500127409976,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9984890974505379}",25,0,-130.20623721830182,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.998445631725472}",20,0,-74.33819678885193,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.998401550108975}",30,0,-130.42463557536362,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.998356852628239}",20,0,-71.4704144558672,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9983115393108354}",25,0,-123.05499175936666,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9982656101847159}",20,2,-159.89451181655411,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 3}",1
77,False,"{'a': 0.5, 'e': 0.9982190652782118}",20,0,-77.63649356684178,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9981719046200344}",20,0,-138.39725730539786,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.9981241282392745}",20,3,-66.13552501222767,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.9980757361654035}",25,0,-199.20197365310779,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.9980267284282716}",20,0,-72.45132425936127,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9979771050581093}",25,0,-137.11186020478902,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.997926866085527}",20,4,-96.05360758473176,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.9978760115415145}",20,0,-80.21307368665802,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9978245414574415}",25,0,-87.0019195841766,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9977724558650571}",25,0,-107.02115024607428,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9977197547964907}",20,0,-130.14548105071853,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9976664382842505}",20,0,-120.12576483256088,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.9976125063612252}",20,0,-137.88630478662913,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9975579590606826}",20,10,-22.886707029697078,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.99750279641627}",30,0,-106.65365562816216,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9974470184620149}",20,0,-27.023395306683888,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9973906252323237}",20,0,-178.01754487802097,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.9973336167619825}",20,0,-64.79917148415923,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9972759930861571}",30,0,-97.8403718264077,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9972177542403927}",20,0,-75.21838376747816,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9971589002606139}",20,0,-89.79521419271416,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.9970994311831248}",20,2,-45.86078672205387,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.997039347044609}",20,0,-102.6724986724845,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.9969786478821293}",30,0,-129.10662676965495,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.996917333733128}",20,0,-27.448754182032584,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.9968554046354268}",30,0,-118.97707431403636,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.9967928606272266}",25,10,-73.71333321602542,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.9967297017471077}",20,0,-80.65467713582827,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.9966659280340299}",20,0,-149.82319930592612,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
106,False,"{'a': 0.5, 'e': 0.9966015395273318}",25,0,-77.62321785918043,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.9965365362667313}",25,0,-110.87355471136074,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.9964709182923261}",20,0,-161.05489230819907,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
109,False,"{'a': 0.5, 'e': 0.9964046856445924}",20,0,-94.91673942885629,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.9963378383643858}",20,0,-132.35281093497744,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.9962703764929413}",30,0,-118.04041558936493,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9962023000718725}",25,8,-7.637953570473102,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.9961336091431725}",30,0,-140.1721085973606,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.9960643037492132}",20,5,-64.6799732146787,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.9959943839327459}",20,0,-69.94321051945774,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.9959238497369003}",25,0,-131.3229423152318,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.9958527012051857}",20,0,-79.8966941914349,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.99578093838149}",20,0,-107.00385126056283,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.9957085613100801}",25,0,-199.6126298833819,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
120,False,"{'a': 0.5, 'e': 0.9956355700356019}",25,0,-101.59468209781697,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.99556196460308}",20,13,-26.014482093658767,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.9954877450579179}",20,0,-161.74872373388672,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.9954129114458982}",20,0,-106.74800134184268,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.9953374638131817}",30,0,-58.448575925320725,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.9952614022063083}",25,0,-128.89402246595614,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.9951847266721969}",20,0,-110.13416061634233,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.9951074372581447}",20,0,-113.6582034701576,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.9950295340118275}",20,0,-195.63643701143465,"{0: 8, 1: 5, 2: 2, 3: 2, 4: 3}",0
129,False,"{'a': 0.5, 'e': 0.9949510169813002}",25,0,-41.54653831325113,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.9948718862149959}",30,9,-139.6007923521673,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 3}",1
131,False,"{'a': 0.5, 'e': 0.9947921417617265}",20,0,-123.62762834801579,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.9947117836706824}",25,12,-43.693280622034905,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.9946308119914323}",25,0,-137.83019855068272,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.994549226773924}",20,0,-69.25322302429225,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.994467028068483}",20,0,-72.43819795720071,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.9943842159258137}",30,0,-81.73314363897835,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.9943007903969989}",25,0,-99.2315479777835,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.9942167515334995}",25,10,-37.44311733968832,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.9941320993871551}",25,0,-102.39481449904416,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.9940468340101831}",25,0,-98.01306028894007,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.9939609554551797}",20,0,-106.72568587616098,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.993874463775119}",25,0,-141.64124906059484,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.9937873590233535}",20,0,-185.1929838261746,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
144,False,"{'a': 0.5, 'e': 0.9936996412536138}",25,0,-163.4633854622468,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9936113105200084}",25,0,-176.33438298557292,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
146,False,"{'a': 0.5, 'e': 0.9935223668770244}",20,0,-68.06155620389931,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.9934328103795266}",25,0,-101.25258361635971,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.9933426410827579}",20,0,-120.34108158306186,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.9932518590423394}",30,0,-303.2619873632333,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 5}",0
150,False,"{'a': 0.5, 'e': 0.99316046431427}",25,0,-100.89545999186453,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9930684569549263}",25,0,-200.49962061093356,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
152,False,"{'a': 0.5, 'e': 0.9929758370210633}",25,9,-168.02072807839963,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 3}",1
153,False,"{'a': 0.5, 'e': 0.9928826045698137}",20,0,-80.29717334896132,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.9927887596586877}",20,0,-113.34693838431214,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.9926943023455738}",25,0,-252.79726019415094,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
156,False,"{'a': 0.5, 'e': 0.9925992326887378}",20,0,-163.45934430414502,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
