trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,0,-230.4956127664793,"{0: 8, 1: 4, 2: 8, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.998001}",25,0,-96.6367370736761,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",25,0,-78.68599394967804,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",25,0,-68.51011770082883,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",35,0,-181.57258916431374,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",20,0,-150.78313281050836,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",25,0,-72.91450030356984,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9920279440699441}",20,0,-70.08065574275253,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9910359161258742}",25,0,-252.32709552604402,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",25,0,-240.2476994653166,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295385}",25,0,-231.57369631429046,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.988065780494209}",20,0,-154.08568191231709,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",20,0,-116.38247310981781,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",25,0,-168.66441185465314,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9851045463620021}",25,0,-108.57104145492025,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
