trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-62.68939753708968,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.998001}",25,0,-195.9187908906587,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",20,0,-85.6902012191553,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",20,0,-143.14608772348157,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-100.45365914598398,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",20,0,-48.83944406121172,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",30,0,-212.1140458486907,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9920279440699441}",20,0,-80.00303557796666,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9910359161258742}",20,0,-146.6371141267652,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",25,0,-148.9458231575062,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295385}",25,0,-91.54531026303927,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.988065780494209}",20,0,-59.922848692899365,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",20,0,-33.33595004200685,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",20,0,-196.45926027264295,"{0: 9, 1: 1, 2: 4, 3: 4, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9851045463620021}",30,0,-203.45412313114397,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.98411944181564}",20,0,-51.92728914017766,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",20,0,-97.01632065571309,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514506}",20,0,-160.9069672291621,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9811700348643991}",20,0,-47.26513219510288,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",30,0,-179.67015330427589,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.9792086759647052}",25,0,-78.35719668312053,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9782294672887405}",25,0,-136.12113453415088,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9772512378214517}",25,0,-87.10489873646222,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9762739865836303}",20,0,-69.78315945788611,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9752977125970467}",20,0,-178.5684539151089,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9743224148844496}",20,0,-218.10193703357888,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.9733480924695651}",20,0,-53.59353978551002,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9723747443770956}",20,0,-113.34179298714987,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9714023696327185}",20,0,-111.10780227173937,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
