trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.53228460041011,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.35640873010959,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.10425965772038,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.71327324078467,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.50308955037497,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-220.7843498941088,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-249.6336537603378,"{0: 21, 1: 2, 2: 6, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.265678965615464,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.2527198703397,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.5260758671289,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.20869322912148,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.39925662169641,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.7176267504331,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.5910484514519,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.62840859477467,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.8378535199904,"{0: 13, 1: 0, 2: 10, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.73553806632538,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.2231650829837,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.16804518972702,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-230.19921294366702,"{0: 20, 1: 4, 2: 5, 3: 3, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-55.07025379517758,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.06875809327295,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-177.28933951847657,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,4,-80.31315215289105,"{0: 23, 1: 4, 2: 1, 3: 2, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-142.2180535606023,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.547613210861904,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,8,-87.58629946087989,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-280.70059552784573,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 6}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.2772188989693,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-248.78668303696912,"{0: 13, 1: 2, 2: 3, 3: 3, 4: 4}",0
